t,x,y,z,qw,qx,qy,qz,gripper_trigger
0.510047,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
0.514974,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
0.519981,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
0.524979,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
0.529977,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
0.534971,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
0.539998,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
0.545043,-0.0662059,-0.0016382,0.179901,0.506732,-0.506172,-0.465451,0.51997,0
0.550047,-0.0662059,-0.0016382,0.179901,0.506732,-0.506172,-0.465451,0.51997,0
0.554993,-0.0662059,-0.0016382,0.179901,0.506732,-0.506172,-0.465451,0.51997,0
0.559971,-0.0662059,-0.0016382,0.179901,0.506732,-0.506172,-0.465451,0.51997,0
0.565061,-0.0662059,-0.0016382,0.179901,0.506432,-0.50652,-0.465758,0.519648,0
0.56998,-0.0662059,-0.0016382,0.179901,0.506826,-0.506743,-0.465501,0.519277,0
0.57499,-0.0662059,-0.0016382,0.179901,0.506826,-0.506743,-0.465501,0.519277,0
0.579979,-0.0662059,-0.0016382,0.179901,0.50722,-0.506965,-0.465243,0.518906,0
0.585001,-0.0662059,-0.0016382,0.179901,0.50722,-0.506965,-0.465243,0.518906,0
0.590027,-0.0662059,-0.0016382,0.179901,0.50722,-0.506965,-0.465243,0.518906,0
0.594976,-0.0662059,-0.0016382,0.179901,0.507313,-0.507536,-0.465292,0.518213,0
0.599975,-0.0662059,-0.0016382,0.179901,0.507313,-0.507536,-0.465292,0.518213,0
0.604991,-0.0662059,-0.0016382,0.179901,0.507706,-0.507759,-0.465034,0.517841,0
0.610092,-0.0662059,-0.0016382,0.179901,0.507706,-0.507759,-0.465034,0.517841,0
0.614968,-0.0662059,-0.0016382,0.179901,0.507706,-0.507759,-0.465034,0.517841,0
0.620004,-0.0662059,-0.0016382,0.179901,0.507405,-0.508107,-0.465339,0.51752,0
0.624965,-0.0662059,-0.0016382,0.179901,0.507798,-0.50833,-0.465081,0.517148,0
0.630087,-0.0662059,-0.0016382,0.179901,0.508099,-0.507981,-0.464776,0.517469,0
0.634969,-0.0662059,-0.0016382,0.179901,0.507798,-0.50833,-0.465081,0.517148,0
0.640038,-0.0662059,-0.0016382,0.179901,0.507798,-0.50833,-0.465081,0.517148,0
0.645092,-0.0662059,-0.0016382,0.179901,0.507798,-0.50833,-0.465081,0.517148,0
0.650056,-0.0662059,-0.0016382,0.179901,0.507798,-0.50833,-0.465081,0.517148,0
0.655058,-0.0662059,-0.0016382,0.179901,0.507798,-0.50833,-0.465081,0.517148,0
0.660055,-0.0662059,-0.0016382,0.179901,0.507798,-0.50833,-0.465081,0.517148,0
